step,actic loss,critic loss,average distance,time
5150,-1.1248,0.8881,5.3925,0min2sec
5160,-1.1227,0.8866,5.3900,0min2sec
5170,-1.1206,0.8850,5.3875,0min2sec
5180,-1.1186,0.8835,5.3850,0min2sec
5190,-1.1166,0.8820,5.3825,0min2sec
5200,-1.1145,0.8805,5.3801,0min2sec
5210,-1.1124,0.8789,5.3776,0min2sec
5220,-1.1104,0.8774,5.3752,0min2sec
5230,-1.1084,0.8759,5.3728,0min2sec
5240,-1.1064,0.8744,5.3703,0min2sec
5250,-1.1043,0.8729,5.3680,0min2sec
5260,-1.1021,0.8715,5.3657,0min2sec
5270,-1.1002,0.8700,5.3634,0min2sec
5280,-1.0982,0.8686,5.3610,0min2sec
5290,-1.0962,0.8671,5.3586,0min2sec
5300,-1.0942,0.8656,5.3562,0min2sec
5310,-1.0921,0.8641,5.3538,0min2sec
5320,-1.0902,0.8627,5.3515,0min2sec
5330,-1.0882,0.8612,5.3491,0min2sec
5340,-1.0862,0.8598,5.3468,0min2sec
5350,-1.0843,0.8583,5.3445,0min2sec
5360,-1.0823,0.8569,5.3421,0min2sec
5370,-1.0804,0.8554,5.3398,0min2sec
5380,-1.0785,0.8540,5.3375,0min2sec
5390,-1.0766,0.8526,5.3352,0min2sec
5400,-1.0747,0.8511,5.3329,0min2sec
5410,-1.0728,0.8497,5.3306,0min2sec
5420,-1.0708,0.8483,5.3284,0min2sec
5430,-1.0691,0.8470,5.3262,0min2sec
5440,-1.0672,0.8456,5.3241,0min2sec
5450,-1.0653,0.8443,5.3219,0min2sec
5460,-1.0634,0.8429,5.3197,0min2sec
5470,-1.0616,0.8416,5.3175,0min2sec
5480,-1.0597,0.8402,5.3153,0min2sec
5490,-1.0578,0.8388,5.3131,0min2sec
5500,-1.0560,0.8374,5.3109,0min2sec
5510,-1.0542,0.8361,5.3087,0min2sec
5520,-1.0524,0.8347,5.3065,0min2sec
5530,-1.0506,0.8334,5.3043,0min2sec
5540,-1.0488,0.8320,5.3021,0min2sec
5550,-1.0469,0.8307,5.3000,0min2sec
5560,-1.0451,0.8294,5.2978,0min2sec
5570,-1.0433,0.8280,5.2957,0min2sec
5580,-1.0414,0.8267,5.2935,0min2sec
5590,-1.0397,0.8254,5.2914,0min2sec
5600,-1.0380,0.8241,5.2892,0min2sec
